==========
Args:Namespace(arch='resnet50', cuhk03_classic_split=False, cuhk03_labeled=True, dataset='chuk03', eval_step=50, evaluate=False, gamma=0.1, gpu_devices='0', height=256, htri_only=False, labelsmooth=False, loss_type={'metric', 'softmax'}, lr=0.002, margin=0.3, max_epoch=150, num_instances=4, optim='sgd', print_freq=10, reranking=False, resume='', root='E:\\WorkSpace\\Datasets', save_dir='./log/Cuhk03/softmax_metric', seed=1, split_id=0, start_epoch=0, start_eval=0, stepsize=20, test_batch=32, train_batch=32, use_cpu=False, use_metric_cuhk03=False, weight_decay=0.0005, width=128, workers=0)
==========
Currently using GPU 0
Initializing dataset chuk03
Note: if root path is changed, the previously generated json files need to be re-generated (delete them first)
Split index = 0
=> CUHK03 (labeled) loaded
Dataset statistics:
  ------------------------------
  subset   | # ids | # images
  ------------------------------
  train    |   767 |     7368
  query    |   700 |     1400
  gallery  |   700 |     5328
  ------------------------------
  total    |  1467 |     8768
  ------------------------------
Initializing model: resnet50
Model size: 25.07962M
==> Start training
Epoch: [1][10/95]	Time 0.356 (0.738)	Data 0.207 (0.226)	Loss 9.7790 (10.0224)	CLoss 6.7799 (6.7620)	MLoss 2.9992 (3.2604)	
Epoch: [1][20/95]	Time 0.368 (0.558)	Data 0.213 (0.222)	Loss 9.3556 (9.8286)	CLoss 6.8178 (6.7855)	MLoss 2.5378 (3.0431)	
Epoch: [1][30/95]	Time 0.350 (0.493)	Data 0.203 (0.219)	Loss 10.0823 (9.6936)	CLoss 7.0371 (6.8273)	MLoss 3.0452 (2.8663)	
Epoch: [1][40/95]	Time 0.358 (0.459)	Data 0.210 (0.217)	Loss 8.8631 (9.5475)	CLoss 7.0474 (6.8756)	MLoss 1.8158 (2.6719)	
Epoch: [1][50/95]	Time 0.356 (0.438)	Data 0.207 (0.215)	Loss 8.5514 (9.4015)	CLoss 7.2289 (6.9153)	MLoss 1.3225 (2.4862)	
Epoch: [1][60/95]	Time 0.362 (0.424)	Data 0.218 (0.213)	Loss 8.6450 (9.3206)	CLoss 7.2189 (6.9541)	MLoss 1.4261 (2.3665)	
Epoch: [1][70/95]	Time 0.382 (0.414)	Data 0.237 (0.213)	Loss 9.0693 (9.2301)	CLoss 7.1956 (6.9884)	MLoss 1.8737 (2.2417)	
Epoch: [1][80/95]	Time 0.361 (0.407)	Data 0.214 (0.212)	Loss 9.1293 (9.1418)	CLoss 7.2185 (7.0208)	MLoss 1.9107 (2.1210)	
Epoch: [1][90/95]	Time 0.344 (0.401)	Data 0.201 (0.211)	Loss 8.3814 (9.0633)	CLoss 7.3025 (7.0498)	MLoss 1.0789 (2.0135)	
Epoch: [2][10/95]	Time 0.378 (0.348)	Data 0.223 (0.194)	Loss 7.1130 (7.5239)	CLoss 6.6395 (6.6503)	MLoss 0.4735 (0.8736)	
Epoch: [2][20/95]	Time 0.362 (0.353)	Data 0.211 (0.200)	Loss 7.7192 (7.5270)	CLoss 6.7030 (6.6852)	MLoss 1.0162 (0.8418)	
Epoch: [2][30/95]	Time 0.344 (0.355)	Data 0.192 (0.202)	Loss 7.5010 (7.5494)	CLoss 6.8555 (6.7229)	MLoss 0.6455 (0.8265)	
Epoch: [2][40/95]	Time 0.354 (0.353)	Data 0.205 (0.201)	Loss 7.2984 (7.5162)	CLoss 6.9098 (6.7631)	MLoss 0.3886 (0.7530)	
Epoch: [2][50/95]	Time 0.351 (0.351)	Data 0.202 (0.200)	Loss 7.3981 (7.5166)	CLoss 6.9656 (6.8028)	MLoss 0.4325 (0.7138)	
Epoch: [2][60/95]	Time 0.339 (0.350)	Data 0.193 (0.199)	Loss 7.6842 (7.5416)	CLoss 6.9450 (6.8415)	MLoss 0.7392 (0.7001)	
Epoch: [2][70/95]	Time 0.355 (0.350)	Data 0.211 (0.200)	Loss 7.6927 (7.5348)	CLoss 7.1098 (6.8700)	MLoss 0.5829 (0.6649)	
