==========
Args:Namespace(arch='resnet50', cuhk03_classic_split=False, cuhk03_labeled=False, dataset='dukemtmcreid', eval_step=50, evaluate=False, gamma=0.1, gpu_devices='0', height=256, htri_only=False, labelsmooth=False, loss_type={'softmax', 'metric'}, lr=0.002, margin=0.3, max_epoch=150, num_instances=4, optim='sgd', print_freq=10, reranking=False, resume='', root='E:\\WorkSpace\\Datasets', save_dir='./log', seed=1, split_id=0, start_epoch=0, start_eval=0, stepsize=20, test_batch=32, train_batch=32, use_cpu=False, use_metric_cuhk03=False, weight_decay=0.0005, width=128, workers=0)
==========
Currently using GPU 0
Initializing dataset dukemtmcreid
=> DukeMTMC-reID loaded
Dataset statistics:
  ------------------------------
  subset   | # ids | # images
  ------------------------------
  train    |   702 |    16522
  query    |   702 |     2228
  gallery  |  1110 |    17661
  ------------------------------
  total    |  1404 |    36411
  ------------------------------
Initializing model: resnet50
Model size: 24.94643M
==> Start training
Epoch: [1][10/87]	Time 0.305 (0.650)	Data 0.176 (0.191)	Loss 9.1065 (9.9640F)	CLoss 6.6731 (6.6367)	MLoss 2.4334 (3.3273)	
Epoch: [1][20/87]	Time 0.296 (0.475)	Data 0.167 (0.179)	Loss 9.3867 (9.6759F)	CLoss 6.7405 (6.6718)	MLoss 2.6461 (3.0041)	
Epoch: [1][30/87]	Time 0.301 (0.416)	Data 0.169 (0.175)	Loss 9.4468 (9.6363F)	CLoss 6.9311 (6.7263)	MLoss 2.5157 (2.9100)	
Epoch: [1][40/87]	Time 0.299 (0.387)	Data 0.170 (0.174)	Loss 8.2212 (9.5280F)	CLoss 7.0814 (6.7829)	MLoss 1.1398 (2.7450)	
Epoch: [1][50/87]	Time 0.293 (0.369)	Data 0.162 (0.172)	Loss 9.6164 (9.4850F)	CLoss 6.9928 (6.8283)	MLoss 2.6236 (2.6567)	
Epoch: [1][60/87]	Time 0.297 (0.358)	Data 0.166 (0.172)	Loss 8.8325 (9.4009F)	CLoss 7.1007 (6.8693)	MLoss 1.7317 (2.5316)	
Epoch: [1][70/87]	Time 0.318 (0.350)	Data 0.175 (0.171)	Loss 8.1346 (9.2819F)	CLoss 7.0777 (6.8951)	MLoss 1.0568 (2.3868)	
Epoch: [1][80/87]	Time 0.308 (0.345)	Data 0.170 (0.171)	Loss 8.2119 (9.1390F)	CLoss 7.0513 (6.9194)	MLoss 1.1606 (2.2196)	
Epoch: [2][10/87]	Time 0.305 (0.299)	Data 0.167 (0.162)	Loss 6.9743 (7.2059F)	CLoss 6.5836 (6.5732)	MLoss 0.3906 (0.6327)	
Epoch: [2][20/87]	Time 0.304 (0.303)	Data 0.167 (0.166)	Loss 7.1217 (7.1667F)	CLoss 6.5947 (6.5939)	MLoss 0.5270 (0.5729)	
Epoch: [2][30/87]	Time 0.313 (0.306)	Data 0.175 (0.167)	Loss 7.1671 (7.1781F)	CLoss 6.7024 (6.6204)	MLoss 0.4647 (0.5577)	
Epoch: [2][40/87]	Time 0.307 (0.308)	Data 0.170 (0.168)	Loss 7.3611 (7.1864F)	CLoss 6.8249 (6.6492)	MLoss 0.5362 (0.5372)	
Epoch: [2][50/87]	Time 0.318 (0.308)	Data 0.177 (0.169)	Loss 7.1611 (7.1848F)	CLoss 6.7136 (6.6663)	MLoss 0.4475 (0.5185)	
Epoch: [2][60/87]	Time 0.307 (0.308)	Data 0.169 (0.168)	Loss 7.2828 (7.1864F)	CLoss 6.8261 (6.6853)	MLoss 0.4567 (0.5011)	
Epoch: [2][70/87]	Time 0.308 (0.309)	Data 0.168 (0.169)	Loss 7.1127 (7.1899F)	CLoss 6.7627 (6.7028)	MLoss 0.3501 (0.4871)	
Epoch: [2][80/87]	Time 0.328 (0.309)	Data 0.181 (0.169)	Loss 7.2100 (7.1982F)	CLoss 6.8805 (6.7230)	MLoss 0.3295 (0.4752)	
Epoch: [3][10/87]	Time 0.312 (0.306)	Data 0.172 (0.162)	Loss 6.9655 (6.9057F)	CLoss 6.6094 (6.5755)	MLoss 0.3561 (0.3302)	
Epoch: [3][20/87]	Time 0.314 (0.309)	Data 0.167 (0.166)	Loss 7.0181 (6.9373F)	CLoss 6.5771 (6.5844)	MLoss 0.4410 (0.3529)	
Epoch: [3][30/87]	Time 0.323 (0.321)	Data 0.172 (0.168)	Loss 7.0287 (6.9519F)	CLoss 6.6587 (6.5983)	MLoss 0.3700 (0.3536)	
Epoch: [3][40/87]	Time 0.308 (0.319)	Data 0.169 (0.168)	Loss 7.0034 (6.9630F)	CLoss 6.6822 (6.6173)	MLoss 0.3213 (0.3457)	
Epoch: [3][50/87]	Time 0.307 (0.317)	Data 0.166 (0.168)	Loss 7.0807 (6.9813F)	CLoss 6.6939 (6.6326)	MLoss 0.3867 (0.3486)	
Epoch: [3][60/87]	Time 0.317 (0.317)	Data 0.175 (0.169)	Loss 7.0196 (6.9960F)	CLoss 6.7572 (6.6519)	MLoss 0.2624 (0.3441)	
Epoch: [3][70/87]	Time 0.315 (0.316)	Data 0.168 (0.169)	Loss 7.0735 (7.0067F)	CLoss 6.7380 (6.6669)	MLoss 0.3355 (0.3398)	
