==========
Args:Namespace(arch='resnet50', cuhk03_classic_split=False, cuhk03_labeled=False, dataset='market1501', eval_step=50, evaluate=False, gamma=0.1, gpu_devices='0', height=256, htri_only=False, labelsmooth=False, loss_type={'metric', 'softmax'}, lr=0.0002, margin=0.3, max_epoch=150, num_instances=4, optim='sgd', print_freq=10, reranking=False, resume='', root='E:\\WorkSpace\\Datasets', save_dir='log', seed=1, split_id=0, start_epoch=0, start_eval=0, stepsize=50, test_batch=32, train_batch=32, use_cpu=False, use_metric_cuhk03=False, weight_decay=0.0005, width=128, workers=0)
==========
Currently using GPU 0
Initializing dataset market1501
Dataset normal
=> Market1501 loaded
Dataset statistics:
  ==============================
  subset   | # ids | # images
  ------------------------------
  train    |   751 |    12936
  query    |   750 |     3368
  gallery  |   751 |    19732
  ------------------------------
  total    |  1501 |    36036
  ==============================
Initializing model: resnet50
Model size: 25.04683M
==> Start training
Epoch: [1][10/93]	Time 0.292 (0.586)	Data 0.154 (0.132)	Loss 9.7492 (9.8314)	CLoss 6.7870 (6.6987)	MLoss 2.9622 (3.1327)	
Epoch: [1][20/93]	Time 0.288 (0.437)	Data 0.150 (0.142)	Loss 9.1036 (9.7453)	CLoss 6.5859 (6.6851)	MLoss 2.5177 (3.0602)	
Epoch: [1][30/93]	Time 0.290 (0.387)	Data 0.154 (0.145)	Loss 9.6233 (9.5949)	CLoss 6.7331 (6.6811)	MLoss 2.8902 (2.9139)	
Epoch: [1][40/93]	Time 0.290 (0.363)	Data 0.151 (0.146)	Loss 9.0408 (9.4562)	CLoss 6.5940 (6.6809)	MLoss 2.4468 (2.7753)	
Epoch: [1][50/93]	Time 0.293 (0.348)	Data 0.154 (0.147)	Loss 9.0382 (9.3223)	CLoss 6.6473 (6.6760)	MLoss 2.3909 (2.6463)	
Epoch: [1][60/93]	Time 0.289 (0.338)	Data 0.152 (0.148)	Loss 8.8722 (9.2470)	CLoss 6.8081 (6.6842)	MLoss 2.0641 (2.5628)	
Epoch: [1][70/93]	Time 0.297 (0.333)	Data 0.152 (0.149)	Loss 8.4714 (9.1703)	CLoss 6.9001 (6.6920)	MLoss 1.5713 (2.4782)	
Epoch: [1][80/93]	Time 0.319 (0.328)	Data 0.171 (0.150)	Loss 8.0732 (9.0675)	CLoss 6.7785 (6.6973)	MLoss 1.2946 (2.3702)	
Epoch: [1][90/93]	Time 0.295 (0.325)	Data 0.151 (0.150)	Loss 8.6267 (8.9998)	CLoss 6.8250 (6.7055)	MLoss 1.8017 (2.2943)	
Epoch: [2][10/93]	Time 0.307 (0.288)	Data 0.160 (0.144)	Loss 8.0953 (8.0840)	CLoss 6.6164 (6.6460)	MLoss 1.4789 (1.4380)	
Epoch: [2][20/93]	Time 0.300 (0.293)	Data 0.156 (0.149)	Loss 8.5789 (8.0822)	CLoss 6.5607 (6.6600)	MLoss 2.0181 (1.4223)	
Epoch: [2][30/93]	Time 0.306 (0.295)	Data 0.162 (0.151)	Loss 7.8906 (8.0771)	CLoss 6.7530 (6.6624)	MLoss 1.1376 (1.4147)	
Epoch: [2][40/93]	Time 0.306 (0.297)	Data 0.159 (0.152)	Loss 8.2328 (8.0936)	CLoss 6.8026 (6.6658)	MLoss 1.4302 (1.4279)	
Epoch: [2][50/93]	Time 0.299 (0.297)	Data 0.157 (0.152)	Loss 7.8064 (8.0976)	CLoss 6.7778 (6.6770)	MLoss 1.0285 (1.4206)	
Epoch: [2][60/93]	Time 0.301 (0.297)	Data 0.155 (0.153)	Loss 8.0088 (8.0905)	CLoss 6.7914 (6.6784)	MLoss 1.2174 (1.4121)	
Epoch: [2][70/93]	Time 0.303 (0.298)	Data 0.156 (0.153)	Loss 7.4005 (8.0551)	CLoss 6.6648 (6.6804)	MLoss 0.7356 (1.3747)	
Epoch: [2][80/93]	Time 0.307 (0.299)	Data 0.161 (0.153)	Loss 7.2576 (8.0334)	CLoss 6.7801 (6.6879)	MLoss 0.4775 (1.3455)	
Epoch: [2][90/93]	Time 0.309 (0.298)	Data 0.153 (0.153)	Loss 7.7963 (8.0152)	CLoss 6.7532 (6.6851)	MLoss 1.0431 (1.3302)	
Epoch: [3][10/93]	Time 0.296 (0.285)	Data 0.153 (0.142)	Loss 7.7133 (7.7339)	CLoss 6.7496 (6.6663)	MLoss 0.9636 (1.0676)	
Epoch: [3][20/93]	Time 0.315 (0.295)	Data 0.158 (0.149)	Loss 7.2170 (7.6060)	CLoss 6.4319 (6.6488)	MLoss 0.7850 (0.9572)	
Epoch: [3][30/93]	Time 0.299 (0.296)	Data 0.151 (0.151)	Loss 8.1914 (7.5926)	CLoss 6.5330 (6.6302)	MLoss 1.6584 (0.9624)	
Epoch: [3][40/93]	Time 0.296 (0.297)	Data 0.151 (0.151)	Loss 7.2885 (7.6458)	CLoss 6.6970 (6.6375)	MLoss 0.5915 (1.0083)	
Epoch: [3][50/93]	Time 0.289 (0.310)	Data 0.147 (0.159)	Loss 7.3472 (7.6205)	CLoss 6.5991 (6.6361)	MLoss 0.7482 (0.9844)	
Epoch: [3][60/93]	Time 0.320 (0.310)	Data 0.161 (0.159)	Loss 7.2647 (7.6384)	CLoss 6.6908 (6.6438)	MLoss 0.5739 (0.9946)	
Epoch: [3][70/93]	Time 0.320 (0.313)	Data 0.166 (0.160)	Loss 7.9374 (7.6308)	CLoss 6.7501 (6.6499)	MLoss 1.1873 (0.9809)	
Epoch: [3][80/93]	Time 0.299 (0.312)	Data 0.155 (0.159)	Loss 7.9339 (7.6270)	CLoss 6.6734 (6.6539)	MLoss 1.2605 (0.9730)	
Epoch: [3][90/93]	Time 0.303 (0.316)	Data 0.160 (0.163)	Loss 7.7780 (7.6354)	CLoss 6.7237 (6.6605)	MLoss 1.0543 (0.9749)	
