==========
Args:Namespace(arch='resnet50', cuhk03_classic_split=False, cuhk03_labeled=False, dataset='cuhk03', eval_step=50, evaluate=False, gamma=0.1, gpu_devices='0', height=256, htri_only=False, labelsmooth=False, loss_type={'metric', 'softmax'}, lr=0.0002, margin=0.3, max_epoch=150, num_instances=4, optim='sgd', print_freq=10, reranking=False, resume='', root='E:\\WorkSpace\\Datasets', save_dir='./log/cuhk03_detected', seed=1, split_id=0, start_epoch=0, start_eval=0, stepsize=30, test_batch=32, train_batch=32, use_cpu=False, use_metric_cuhk03=False, weight_decay=0.0005, width=128, workers=0)
==========
Currently using GPU 0
Initializing dataset cuhk03
Note: if root path is changed, the previously generated json files need to be re-generated (delete them first)
Split index = 0
=> CUHK03 (detected) loaded
Dataset statistics:
  ------------------------------
  subset   | # ids | # images
  ------------------------------
  train    |   767 |     7365
  query    |   700 |     1400
  gallery  |   700 |     5332
  ------------------------------
  total    |  1467 |     8765
  ------------------------------
Initializing model: resnet50
Model size: 25.07962M
==> Start training
Epoch: [1][10/95]	Time 0.366 (0.737)	Data 0.225 (0.242)	Loss 9.7949 (9.7848)	CLoss 6.7622 (6.7257)	MLoss 3.0327 (3.0591)	
Epoch: [1][20/95]	Time 0.346 (0.544)	Data 0.206 (0.226)	Loss 9.3632 (9.7227)	CLoss 6.5590 (6.7140)	MLoss 2.8042 (3.0087)	
Epoch: [1][30/95]	Time 0.348 (0.479)	Data 0.211 (0.221)	Loss 9.7289 (9.5797)	CLoss 6.6452 (6.7130)	MLoss 3.0838 (2.8668)	
Epoch: [1][40/95]	Time 0.383 (0.448)	Data 0.237 (0.219)	Loss 9.5173 (9.5156)	CLoss 6.7665 (6.7244)	MLoss 2.7509 (2.7913)	
Epoch: [1][50/95]	Time 0.348 (0.431)	Data 0.206 (0.218)	Loss 9.1612 (9.4329)	CLoss 6.6625 (6.7298)	MLoss 2.4987 (2.7031)	
Epoch: [1][60/95]	Time 0.355 (0.418)	Data 0.215 (0.217)	Loss 8.5566 (9.3424)	CLoss 6.7209 (6.7260)	MLoss 1.8356 (2.6165)	
Epoch: [1][70/95]	Time 0.344 (0.409)	Data 0.205 (0.216)	Loss 9.2059 (9.2835)	CLoss 6.6691 (6.7313)	MLoss 2.5369 (2.5521)	
Epoch: [1][80/95]	Time 0.362 (0.402)	Data 0.207 (0.215)	Loss 8.8149 (9.2073)	CLoss 6.8548 (6.7347)	MLoss 1.9601 (2.4726)	
Epoch: [1][90/95]	Time 0.369 (0.398)	Data 0.213 (0.216)	Loss 9.3542 (9.1506)	CLoss 6.9511 (6.7378)	MLoss 2.4030 (2.4128)	
Epoch: [2][10/95]	Time 0.353 (0.354)	Data 0.204 (0.204)	Loss 9.2886 (8.4166)	CLoss 6.7377 (6.6658)	MLoss 2.5509 (1.7509)	
Epoch: [2][20/95]	Time 0.343 (0.350)	Data 0.198 (0.203)	Loss 8.0986 (8.3822)	CLoss 6.6235 (6.6759)	MLoss 1.4751 (1.7064)	
Epoch: [2][30/95]	Time 0.347 (0.348)	Data 0.204 (0.203)	Loss 7.9388 (8.3530)	CLoss 6.7369 (6.6730)	MLoss 1.2019 (1.6800)	
Epoch: [2][40/95]	Time 0.348 (0.348)	Data 0.201 (0.203)	Loss 7.6758 (8.2968)	CLoss 6.7138 (6.6860)	MLoss 0.9620 (1.6108)	
Epoch: [2][50/95]	Time 0.350 (0.347)	Data 0.203 (0.202)	Loss 8.6243 (8.2608)	CLoss 6.7372 (6.6913)	MLoss 1.8871 (1.5695)	
Epoch: [2][60/95]	Time 0.340 (0.347)	Data 0.195 (0.202)	Loss 7.7465 (8.2703)	CLoss 6.6278 (6.6936)	MLoss 1.1187 (1.5768)	
Epoch: [2][70/95]	Time 0.346 (0.347)	Data 0.200 (0.202)	Loss 7.9437 (8.2442)	CLoss 6.7126 (6.6959)	MLoss 1.2311 (1.5483)	
Epoch: [2][80/95]	Time 0.340 (0.347)	Data 0.200 (0.201)	Loss 8.7277 (8.2144)	CLoss 6.7430 (6.7013)	MLoss 1.9846 (1.5131)	
Epoch: [2][90/95]	Time 0.337 (0.347)	Data 0.196 (0.202)	Loss 7.7299 (8.1873)	CLoss 6.6557 (6.7070)	MLoss 1.0743 (1.4804)	
Epoch: [3][10/95]	Time 0.336 (0.331)	Data 0.193 (0.187)	Loss 7.3487 (7.7693)	CLoss 6.5571 (6.6343)	MLoss 0.7916 (1.1350)	
Epoch: [3][20/95]	Time 0.339 (0.340)	Data 0.192 (0.195)	Loss 8.1432 (7.7557)	CLoss 6.6567 (6.6483)	MLoss 1.4865 (1.1074)	
Epoch: [3][30/95]	Time 0.339 (0.340)	Data 0.194 (0.195)	Loss 7.5782 (7.7354)	CLoss 6.5921 (6.6445)	MLoss 0.9861 (1.0909)	
Epoch: [3][40/95]	Time 0.342 (0.341)	Data 0.199 (0.196)	Loss 7.9142 (7.7574)	CLoss 6.6233 (6.6381)	MLoss 1.2908 (1.1194)	
Epoch: [3][50/95]	Time 0.342 (0.343)	Data 0.198 (0.197)	Loss 7.3094 (7.7025)	CLoss 6.7529 (6.6484)	MLoss 0.5565 (1.0541)	
Epoch: [3][60/95]	Time 0.340 (0.342)	Data 0.198 (0.197)	Loss 8.5504 (7.7278)	CLoss 6.7381 (6.6629)	MLoss 1.8123 (1.0650)	
Epoch: [3][70/95]	Time 0.343 (0.342)	Data 0.196 (0.197)	Loss 7.5675 (7.7185)	CLoss 6.7962 (6.6699)	MLoss 0.7712 (1.0486)	
Epoch: [3][80/95]	Time 0.341 (0.342)	Data 0.195 (0.197)	Loss 7.4032 (7.7128)	CLoss 6.6390 (6.6770)	MLoss 0.7642 (1.0358)	
Epoch: [3][90/95]	Time 0.346 (0.342)	Data 0.200 (0.197)	Loss 8.3693 (7.7352)	CLoss 6.7907 (6.6854)	MLoss 1.5785 (1.0498)	
Epoch: [4][10/95]	Time 0.348 (0.330)	Data 0.200 (0.185)	Loss 7.5600 (7.4712)	CLoss 6.5947 (6.6186)	MLoss 0.9652 (0.8525)	
Epoch: [4][20/95]	Time 0.349 (0.336)	Data 0.199 (0.190)	Loss 6.9047 (7.4826)	CLoss 6.5224 (6.6140)	MLoss 0.3822 (0.8686)	
Epoch: [4][30/95]	Time 0.338 (0.338)	Data 0.195 (0.192)	Loss 7.5904 (7.4496)	CLoss 6.5975 (6.6110)	MLoss 0.9929 (0.8386)	
Epoch: [4][40/95]	Time 0.341 (0.339)	Data 0.201 (0.194)	Loss 7.2406 (7.4387)	CLoss 6.7045 (6.6211)	MLoss 0.5361 (0.8177)	
Epoch: [4][50/95]	Time 0.341 (0.340)	Data 0.194 (0.194)	Loss 7.4573 (7.4497)	CLoss 6.6784 (6.6272)	MLoss 0.7788 (0.8225)	
Epoch: [4][60/95]	Time 0.335 (0.340)	Data 0.193 (0.195)	Loss 7.1205 (7.4425)	CLoss 6.7314 (6.6369)	MLoss 0.3891 (0.8056)	
Epoch: [4][70/95]	Time 0.331 (0.340)	Data 0.190 (0.195)	Loss 7.6913 (7.4300)	CLoss 6.7063 (6.6446)	MLoss 0.9850 (0.7854)	
Epoch: [4][80/95]	Time 0.339 (0.341)	Data 0.194 (0.196)	Loss 7.1068 (7.4234)	CLoss 6.6901 (6.6545)	MLoss 0.4167 (0.7690)	
Epoch: [4][90/95]	Time 0.335 (0.340)	Data 0.190 (0.195)	Loss 7.2411 (7.4256)	CLoss 6.7097 (6.6609)	MLoss 0.5314 (0.7647)	
Epoch: [5][10/95]	Time 0.339 (0.332)	Data 0.197 (0.186)	Loss 6.8027 (7.2524)	CLoss 6.6506 (6.5963)	MLoss 0.1521 (0.6561)	
Epoch: [5][20/95]	Time 0.335 (0.336)	Data 0.191 (0.191)	Loss 7.3251 (7.2633)	CLoss 6.6415 (6.5911)	MLoss 0.6836 (0.6723)	
Epoch: [5][30/95]	Time 0.330 (0.338)	Data 0.189 (0.192)	Loss 7.0446 (7.2336)	CLoss 6.5016 (6.5866)	MLoss 0.5430 (0.6470)	
